Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT
2019,0,1181,85,1295,62,N,0
2019,0,1416,76,1433,58,N,0
2019,0,1251,80,1280,76,N,0
2019,0,1439,66,1387,52,N,0
2019,0,1268,79,1125,77,N,0
2019,0,1261,79,1463,74,N,0
2019,0,1278,86,1257,76,N,0
2019,0,1277,76,1133,65,N,0
2019,0,1211,87,1192,49,N,0
2019,0,1124,78,1393,69,N,0
2019,0,1293,83,1266,64,N,0
2019,0,1199,76,1436,69,N,0
2019,0,1138,91,1113,74,N,0
2019,0,1403,72,1297,57,N,0
2019,0,1199,70,1305,61,N,0
2019,0,1276,74,1285,55,N,0
2019,0,1438,71,1205,56,N,0
2019,0,1328,95,1279,72,N,0
2019,0,1332,72,1458,54,N,0
2019,0,1414,70,1243,64,N,0
2019,0,1437,61,1388,57,N,0
2019,0,1345,61,1330,48,N,0
2019,0,1234,79,1153,72,N,0
2019,0,1397,77,1159,70,N,0
2019,0,1314,88,1233,73,N,0
2019,0,1449,78,1429,61,N,0
2019,0,1120,78,1308,77,N,0
2019,0,1242,87,1318,53,N,0
2019,0,1326,62,1235,59,N,0
2019,0,1222,84,1209,55,N,0
2019,0,1459,84,1371,68,N,0
2019,0,1246,79,1101,44,N,0
2019,0,1181,77,1416,76,N,0
2019,0,1439,67,1251,58,N,0
2019,0,1261,69,1268,67,N,0
2019,0,1277,70,1278,50,N,0
2019,0,1211,83,1124,71,N,0
2019,0,1199,90,1293,62,N,0
2019,0,1403,78,1138,58,N,0
2019,0,1276,64,1199,49,N,0
2019,0,1438,63,1328,51,N,0
2019,0,1332,73,1414,54,N,0
2019,0,1345,87,1437,61,N,0
2019,0,1397,83,1234,77,N,0
2019,0,1314,81,1449,59,N,0
2019,0,1120,89,1242,75,N,0
2019,0,1222,74,1326,59,N,0
2019,0,1246,62,1459,56,N,0
2019,0,1181,75,1439,73,N,0
2019,0,1277,80,1261,63,N,0
2019,0,1211,72,1199,58,N,0
2019,0,1403,63,1276,44,N,0
2019,0,1438,53,1332,49,N,0
2019,0,1345,99,1397,94,N,0
2019,0,1120,97,1314,80,N,0
2019,0,1246,62,1222,58,N,0
2019,0,1277,68,1181,67,N,0
2019,0,1403,75,1211,69,N,0
2019,0,1438,80,1345,75,N,0
2019,0,1120,77,1246,71,N,0
2019,0,1403,61,1277,51,N,0
2019,0,1438,63,1120,62,N,0
2019,0,1438,85,1403,77,N,0
